time,type,description,details
0.0,SIMULATION_START,Starting simulation with relay_bundling,"{""algorithm"": ""relay_bundling""}"
13,ORDER_PLACED,Order 0 placed,"{""order_id"": 0, ""restaurant_id"": 2}"
100,ORDER_PLACED,Order 1 placed,"{""order_id"": 1, ""restaurant_id"": 0}"
282,ORDER_PLACED,Order 2 placed,"{""order_id"": 2, ""restaurant_id"": 6}"
313,ORDER_READY,Order 0 is ready for pickup,"{""order_id"": 0}"
330,RELAY_CREATED,Relay handoff created: C3 → C0 for order 0,"{""courier_1_id"": 3, ""courier_2_id"": 0, ""order_id"": 0, ""handoff_location"": [2.5, 0.9726929273990726]}"
330,ASSIGNMENT_MADE,Courier 3 assigned orders [0] with relay,"{""courier_id"": 3, ""order_ids"": [0], ""bundle_size"": 1, ""has_relay"": true}"
330,ASSIGNMENT_MADE,Courier 0 assigned orders [0] with relay,"{""courier_id"": 0, ""order_ids"": [0], ""bundle_size"": 1, ""has_relay"": true}"
390,PICKUP_SERVICE_START,Courier 3 starting pickup service (90s),"{""courier_id"": 3, ""service_time"": 90}"
400,ORDER_READY,Order 1 is ready for pickup,"{""order_id"": 1}"
420,RELAY_CREATED,Relay handoff created: C1 → C4 for order 1,"{""courier_1_id"": 1, ""courier_2_id"": 4, ""order_id"": 1, ""handoff_location"": [0.8165495439650896, 2.5]}"
420,ASSIGNMENT_MADE,Courier 1 assigned orders [1] with relay,"{""courier_id"": 1, ""order_ids"": [1], ""bundle_size"": 1, ""has_relay"": true}"
420,ASSIGNMENT_MADE,Courier 4 assigned orders [1] with relay,"{""courier_id"": 4, ""order_ids"": [1], ""bundle_size"": 1, ""has_relay"": true}"
425,ORDER_PLACED,Order 3 placed,"{""order_id"": 3, ""restaurant_id"": 7}"
480,ORDER_PICKED_UP,Order 0 picked up by courier 3,"{""order_id"": 0, ""courier_id"": 3}"
480,COURIER_DELIVERING,Courier 3 heading to first dropoff (optimized),"{""courier_id"": 3, ""order_ids"": []}"
502,ORDER_PLACED,Order 4 placed,"{""order_id"": 4, ""restaurant_id"": 7}"
555,PICKUP_SERVICE_START,Courier 1 starting pickup service (90s),"{""courier_id"": 1, ""service_time"": 90}"
582,ORDER_READY,Order 2 is ready for pickup,"{""order_id"": 2}"
600,ASSIGNMENT_MADE,Courier 7 assigned orders [2],"{""courier_id"": 7, ""order_ids"": [2], ""bundle_size"": 1, ""has_relay"": false}"
604,ORDER_PLACED,Order 5 placed,"{""order_id"": 5, ""restaurant_id"": 5}"
610,PICKUP_SERVICE_START,Courier 4 starting pickup service (90s),"{""courier_id"": 4, ""service_time"": 90}"
645,ORDER_PICKED_UP,Order 1 picked up by courier 1,"{""order_id"": 1, ""courier_id"": 1}"
645,COURIER_DELIVERING,Courier 1 heading to first dropoff (optimized),"{""courier_id"": 1, ""order_ids"": []}"
685,PICKUP_SERVICE_START,Courier 7 starting pickup service (90s),"{""courier_id"": 7, ""service_time"": 90}"
700,ORDER_PICKED_UP,Order 1 picked up by courier 4,"{""order_id"": 1, ""courier_id"": 4}"
700,COURIER_DELIVERING,Courier 4 heading to first dropoff (optimized),"{""courier_id"": 4, ""order_ids"": []}"
717,ORDER_PLACED,Order 6 placed,"{""order_id"": 6, ""restaurant_id"": 7}"
725,ORDER_READY,Order 3 is ready for pickup,"{""order_id"": 3}"
748,ORDER_PLACED,Order 7 placed,"{""order_id"": 7, ""restaurant_id"": 3}"
750,RELAY_CREATED,Relay handoff created: C6 → C2 for order 3,"{""courier_1_id"": 6, ""courier_2_id"": 2, ""order_id"": 3, ""handoff_location"": [3.5213426829298715, 2.5]}"
