dispatch_time,num_orders_in_batch,num_available_couriers,supply_demand_ratio,num_proposed_assignments,num_accepted_assignments,num_rejections,assignment_rate,acceptance_rate,total_cost_of_cycle,avg_cost_per_assignment,agreement_rate_with_actual,cost_function
1665977114,658,802,1.2188449848024316,658,568,90,0.8632218844984803,0.8632218844984803,4591898.034184256,8084.327524972281,0.0060790273556231,distance_to_pickup
1665977234,624,234,0.375,234,212,22,0.33974358974358976,0.905982905982906,8862004.908113055,41801.9099439295,0.0016025641025641025,distance_to_pickup
1665977414,634,22,0.03470031545741325,22,21,1,0.033123028391167195,0.9545454545454546,559476.9520126792,26641.75961965139,0.0,distance_to_pickup
1666063506,710,2503,3.5253521126760563,710,613,97,0.8633802816901408,0.8633802816901408,597155.1585331911,974.1519715060214,0.007042253521126761,distance_to_pickup
1666063626,645,1890,2.9302325581395348,645,566,79,0.8775193798449612,0.8775193798449612,999335.7909829578,1765.6109381324343,0.004651162790697674,distance_to_pickup
1666063806,615,1324,2.1528455284552845,615,533,82,0.8666666666666667,0.8666666666666667,2176022.0210255263,4082.5929099916066,0.0016260162601626016,distance_to_pickup
1666149913,715,2503,3.5006993006993006,715,622,93,0.8699300699300699,0.8699300699300699,1524777.0818374336,2451.410099417096,0.0,distance_to_pickup
1666150033,721,1881,2.608876560332871,721,637,84,0.883495145631068,0.883495145631068,3377067.5359306904,5301.51889471066,0.0013869625520110957,distance_to_pickup
1666150213,638,1244,1.9498432601880877,638,556,82,0.8714733542319749,0.8714733542319749,4960036.167723998,8920.928359215824,0.0,distance_to_pickup
1666236312,643,2503,3.8926905132192844,643,558,85,0.8678071539657853,0.8678071539657853,1287786.9696667972,2307.8619528078802,0.0015552099533437014,distance_to_pickup
1666236432,687,1945,2.8311499272197964,687,585,102,0.851528384279476,0.851528384279476,2960151.278119668,5060.087654905416,0.001455604075691412,distance_to_pickup
1666236612,691,1360,1.968162083936324,691,600,91,0.8683068017366136,0.8683068017366136,6252174.819121693,10420.291365202822,0.001447178002894356,distance_to_pickup
1666322707,733,2503,3.4147339699863575,733,632,101,0.8622100954979536,0.8622100954979536,2037956.3868773559,3224.614536198348,0.0,distance_to_pickup
1666322827,684,1871,2.7353801169590644,684,600,84,0.8771929824561403,0.8771929824561403,4242874.191606908,7071.456986011513,0.0,distance_to_pickup
1666323007,663,1271,1.9170437405731524,663,569,94,0.8582202111613876,0.8582202111613876,8217115.103888385,14441.32707186008,0.004524886877828055,distance_to_pickup
1666409110,700,2503,3.5757142857142856,700,604,96,0.8628571428571429,0.8628571428571429,1537317.2034321956,2545.227158000324,0.0014285714285714286,distance_to_pickup
1666409230,672,1899,2.825892857142857,672,573,99,0.8526785714285714,0.8526785714285714,3032663.073280557,5292.605712531513,0.001488095238095238,distance_to_pickup
1666409410,634,1326,2.091482649842271,634,560,74,0.8832807570977917,0.8832807570977917,7090247.85890024,12661.156890893286,0.0,distance_to_pickup
1666495519,634,2503,3.94794952681388,634,566,68,0.8927444794952681,0.8927444794952681,1342618.9540350542,2372.1182933481523,0.0031545741324921135,distance_to_pickup
1666495639,591,1937,3.2774957698815568,591,522,69,0.883248730964467,0.883248730964467,2338675.1665971773,4480.220625665091,0.001692047377326565,distance_to_pickup
1666495819,669,1415,2.115097159940209,669,580,89,0.866965620328849,0.866965620328849,7907849.4497166565,13634.223189166649,0.0014947683109118087,distance_to_pickup
1666581917,650,2503,3.850769230769231,650,566,84,0.8707692307692307,0.8707692307692307,1402195.6233472745,2477.3774264086123,0.0,distance_to_pickup
1666582037,702,1937,2.759259259259259,702,603,99,0.8589743589743589,0.8589743589743589,3565463.4348051082,5912.874684585586,0.0,distance_to_pickup
1666582217,608,1334,2.1940789473684212,608,523,85,0.8601973684210527,0.8601973684210527,8364059.236424256,15992.465079205078,0.0,distance_to_pickup
