dispatch_time,num_orders_in_batch,num_available_couriers,supply_demand_ratio,num_proposed_assignments,num_accepted_assignments,num_rejections,assignment_rate,acceptance_rate,total_cost_of_cycle,avg_cost_per_assignment,agreement_rate_with_actual,cost_function,mode,strategy_key,num_units,num_bundles,avg_bundle_size,micro_batch_sec,optimizer_status,num_deferred_in,num_deferred_out,num_deferred_carry,decision_ms,optimizer_ms
1665977114,658,802,1.2188449848024316,658,568,90,0.8632218844984803,0.8632218844984803,2521000.0,4438.380281690141,0.014084507042253521,distance_to_pickup,BATCH,clustered_milp_vrp,658,0,0,0,ok,0,90,90,1585.6114579946734,1383.9216249762103
1665977234,714,694,0.9719887955182073,714,630,84,0.8823529411764706,0.8823529411764706,3109000.0,4934.920634920635,0.004761904761904762,distance_to_pickup,BATCH,clustered_milp_vrp,714,0,0,0,ok,0,84,84,1545.626082981471,1346.9442919595167
1665977414,718,562,0.7827298050139275,666,583,83,0.8119777158774373,0.8753753753753754,3372000.0,5783.876500857633,0.017152658662092625,distance_to_pickup,BATCH,clustered_milp_vrp,718,0,0,0,ok,0,135,135,1323.03425000282,1152.4597500101663
1666063506,845,3132,3.706508875739645,845,731,114,0.8650887573964497,0.8650887573964497,4026000.0,5507.523939808481,0.005471956224350205,distance_to_pickup,BATCH,clustered_milp_vrp,845,0,0,0,ok,0,114,114,3076.6863329918124,2329.8978750244714
1666063626,759,2931,3.8616600790513833,759,662,97,0.8722002635046113,0.8722002635046113,2989000.0,4515.105740181269,0.0015105740181268882,distance_to_pickup,BATCH,clustered_milp_vrp,759,0,0,0,ok,0,97,97,2604.128666978795,1963.8936659903266
1666063806,712,2752,3.865168539325843,712,630,82,0.8848314606741573,0.8848314606741573,2785000.0,4420.6349206349205,0.0031746031746031746,distance_to_pickup,BATCH,clustered_milp_vrp,712,0,0,0,ok,0,82,82,2459.3503340147436,1882.0712500019
1666149913,797,3420,4.291091593475533,797,693,104,0.8695106649937264,0.8695106649937264,3704000.0,5344.8773448773445,0.001443001443001443,distance_to_pickup,BATCH,clustered_milp_vrp,797,0,0,0,ok,0,104,104,3154.146790970117,2344.8133330093697
1666150033,825,3215,3.896969696969697,825,716,109,0.8678787878787879,0.8678787878787879,3410000.0,4762.569832402235,0.013966480446927373,distance_to_pickup,BATCH,clustered_milp_vrp,825,0,0,0,ok,0,109,109,3048.069624986965,2269.351208000444
1666150213,747,3013,4.033467202141901,747,641,106,0.85809906291834,0.85809906291834,2451000.0,3823.7129485179407,0.0046801872074883,distance_to_pickup,BATCH,clustered_milp_vrp,747,0,0,0,ok,0,106,106,2746.6352499905042,2083.9559170417488
1666236312,749,3609,4.818424566088117,749,638,111,0.8518024032042724,0.8518024032042724,3443000.0,5396.551724137931,0.0,distance_to_pickup,BATCH,clustered_milp_vrp,749,0,0,0,ok,0,111,111,2952.747166971676,2171.266665973235
