dispatch_time,num_orders_in_batch,num_available_couriers,supply_demand_ratio,num_proposed_assignments,num_accepted_assignments,num_rejections,assignment_rate,acceptance_rate,total_cost_of_cycle,avg_cost_per_assignment,agreement_rate_with_actual,cost_function,mode,strategy_key,num_units,num_bundles,avg_bundle_size,micro_batch_sec,optimizer_status,num_deferred_in,num_deferred_out,num_deferred_carry,decision_ms,optimizer_ms
1665977114,658,802,1.2188449848024316,150,127,23,0.19300911854103345,0.8466666666666667,100000.0,787.4015748031496,0.023622047244094488,distance_to_pickup,BATCH,milp_vrp,658,0,0,0,ok,0,531,531,489.2219169996679,267.0971250045113
1665977234,1155,789,0.6831168831168831,150,131,19,0.11341991341991342,0.8733333333333333,70000.0,534.3511450381679,0.007633587786259542,distance_to_pickup,BATCH,milp_vrp,1155,0,0,0,ok,0,1024,1024,665.526167023927,260.3559579583816
1665977414,1658,739,0.4457177322074789,150,133,17,0.08021712907117008,0.8866666666666667,102000.0,766.9172932330827,0.03759398496240601,distance_to_pickup,BATCH,milp_vrp,1658,0,0,0,ok,0,1525,1525,821.8298330320977,291.2215829710476
1666063506,2235,3132,1.4013422818791947,150,128,22,0.05727069351230425,0.8533333333333334,10000.0,78.125,0.0078125,distance_to_pickup,BATCH,milp_vrp,2235,0,0,0,ok,0,2107,2107,2708.55899999151,511.7310000350699
1666063626,2752,3052,1.1090116279069768,150,130,20,0.047238372093023256,0.8666666666666667,17000.0,130.76923076923077,0.015384615384615385,distance_to_pickup,BATCH,milp_vrp,2752,0,0,0,ok,0,2622,2622,3087.483708979562,507.5899579678662
1666063806,3237,2966,0.9162805066419524,150,139,11,0.04294099474822367,0.9266666666666666,20000.0,143.88489208633092,0.0,distance_to_pickup,BATCH,milp_vrp,3237,0,0,0,ok,0,3098,3098,3525.23074997589,517.1676669851877
1666149913,3813,3420,0.8969315499606609,150,128,22,0.033569367951744034,0.8533333333333334,8000.0,62.5,0.0078125,distance_to_pickup,BATCH,milp_vrp,3813,0,0,0,ok,0,3685,3685,4675.929207995068,615.3022500220686
1666150033,4406,3326,0.7548797094870631,150,124,26,0.02814344076259646,0.8266666666666667,13000.0,104.83870967741936,0.008064516129032258,distance_to_pickup,BATCH,milp_vrp,4406,0,0,0,ok,0,4282,4282,5305.362208979204,579.6612910344265
1666150213,4920,3237,0.6579268292682927,150,137,13,0.027845528455284554,0.9133333333333333,28000.0,204.37956204379563,0.0072992700729927005,distance_to_pickup,BATCH,milp_vrp,4920,0,0,0,ok,0,4783,4783,5657.608375011478,569.639666005969
1666236312,5426,3609,0.6651308514559529,150,128,22,0.02359012163656469,0.8533333333333334,11000.0,85.9375,0.0,distance_to_pickup,BATCH,milp_vrp,5426,0,0,0,ok,0,5298,5298,6961.04608301539,651.4198750373907
1666236432,5985,3524,0.5888053467000836,150,131,19,0.021888053467000835,0.8733333333333333,14000.0,106.87022900763358,0.0,distance_to_pickup,BATCH,milp_vrp,5985,0,0,0,ok,0,5854,5854,7285.138959006872,658.0883749993518
1666236612,6545,3418,0.5222307104660046,150,139,11,0.021237585943468296,0.9266666666666666,5000.0,35.97122302158273,0.0,distance_to_pickup,BATCH,milp_vrp,6545,0,0,0,ok,0,6406,6406,7682.413167029154,603.0595829943195
1666322707,7139,3753,0.5257038800952515,150,128,22,0.017929682028295278,0.8533333333333334,17000.0,132.8125,0.015625,distance_to_pickup,BATCH,milp_vrp,7139,0,0,0,ok,0,7011,7011,9257.872833986767,676.3375829905272
1666322827,7695,3649,0.4742040285899935,150,137,13,0.017803768680961663,0.9133333333333333,14000.0,102.18978102189782,0.0072992700729927005,distance_to_pickup,BATCH,milp_vrp,7695,0,0,0,ok,0,7558,7558,9643.275957962032,668.272333976347
1666323007,8221,3541,0.4307261890280988,150,123,27,0.014961683493492276,0.82,8000.0,65.04065040650407,0.0,distance_to_pickup,BATCH,milp_vrp,8221,0,0,0,ok,0,8098,8098,10000.25070796255,628.6555410479195
1666409110,8798,3891,0.44225960445555806,150,136,14,0.015458058649693112,0.9066666666666666,10000.0,73.52941176470588,0.0,distance_to_pickup,BATCH,milp_vrp,8798,0,0,0,ok,0,8662,8662,11523.536292021163,704.7979999915697
1666409230,9334,3788,0.4058281551317763,150,130,20,0.013927576601671309,0.8666666666666667,10000.0,76.92307692307692,0.015384615384615385,distance_to_pickup,BATCH,milp_vrp,9334,0,0,0,ok,0,9204,9204,11850.84845800884,657.2655420168303
1666409410,9838,3683,0.37436470827403945,150,127,23,0.012909127871518601,0.8466666666666667,6000.0,47.24409448818898,0.0,distance_to_pickup,BATCH,milp_vrp,9838,0,0,0,ok,0,9711,9711,12304.177791986149,666.8331669643521
1666495519,10345,3996,0.3862735621072982,150,126,24,0.012179797003383277,0.84,10000.0,79.36507936507937,0.0,distance_to_pickup,BATCH,milp_vrp,10345,0,0,0,ok,0,10219,10219,13838.011750020087,701.1025000247173
1666495639,10810,3901,0.36086956521739133,150,131,19,0.01211840888066605,0.8733333333333333,9000.0,68.70229007633588,0.0,distance_to_pickup,BATCH,milp_vrp,10810,0,0,0,ok,0,10679,10679,14309.991999994963,683.9121659868397
1666495819,11348,3799,0.3347726471624956,150,130,20,0.011455763130066972,0.8666666666666667,12000.0,92.3076923076923,0.0,distance_to_pickup,BATCH,milp_vrp,11348,0,0,0,ok,0,11218,11218,14555.656166980043,686.1606250167824
1666581917,11868,4074,0.34327603640040444,150,135,15,0.011375126390293226,0.9,7000.0,51.851851851851855,0.007407407407407408,distance_to_pickup,BATCH,milp_vrp,11868,0,0,0,ok,0,11733,11733,18355.839832976926,711.3667910452932
1666582037,12435,3966,0.31893848009650183,150,128,22,0.010293526336952151,0.8533333333333334,17000.0,132.8125,0.0,distance_to_pickup,BATCH,milp_vrp,12435,0,0,0,ok,0,12307,12307,16467.477041995153,733.4202090278268
1666582217,12915,3860,0.2988772744870306,150,130,20,0.010065814943863724,0.8666666666666667,19000.0,146.15384615384616,0.007692307692307693,distance_to_pickup,BATCH,milp_vrp,12915,0,0,0,ok,0,12785,12785,16531.350416014902,664.4077919772826
