dispatch_time,order_id,baseline_assigned_courier_id,baseline_cost,baseline_courier_rank_by_cost,is_assigned_by_baseline,was_accepted,actual_assigned_courier_id,is_match_with_actual,num_orders_in_batch,num_couriers_in_pool,order_pickup_lat,order_pickup_lng,baseline_courier_lat,baseline_courier_lng,actual_courier_lat,actual_courier_lng,platform_order_time,wait_for_assignment_seconds,cost_function,mode,strategy_key,bundling_on,micro_batch_sec,unit_type,bundle_size
1665977114,301604,3559,874.8925648329628,1,True,True,1584,False,1112,802,45862631,174579111,45863490,174579277,0,0,1665932960,44154,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,183148,4429,921.39133922563,1,True,True,602,False,1112,802,45859959,174581509,45860768,174581950,0,0,1665958774,18340,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,332219,984,454.25213263120736,1,True,True,1795,False,1112,802,45846475,174587390,45846899,174587553,0,0,1665960615,16499,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,227285,4837,457.6658169450718,1,True,True,50,False,1112,802,45866440,174556210,45866137,174555867,0,0,1665964884,12230,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,346040,94,1111.3127372616584,1,True,True,3764,False,1112,802,45877788,174579361,45876678,174579307,0,0,1665967081,10033,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,95342,3771,212.3628969476542,1,True,True,1762,False,1112,802,45880235,174650645,45880392,174650788,0,0,1665970264,6850,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,414282,3360,438.7710108929258,1,True,True,95,False,1112,802,45894980,174554750,45894954,174555188,0,0,1665970950,6164,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,22588,4701,978.840640758239,1,True,True,3408,False,1112,802,45867072,174602180,45867012,174601203,0,0,1665971623,5491,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,550615,4390,1053.9316865907392,1,True,True,2666,False,1112,802,45856856,174575762,45857890,174575558,0,0,1665971802,5312,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,41711,470,4621.237280209706,1,True,True,2937,False,1112,802,45884761,174635144,45880214,174634319,0,0,1665972656,4458,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,146967,3423,766.5070123619222,1,True,True,1562,False,1112,802,45851335,174555897,45851252,174556659,0,0,1665972686,4428,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,430209,289,9408.808904425681,1,True,True,3239,False,1112,802,45830770,174561358,45832713,174552152,0,0,1665972710,4404,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,365550,1725,10430.981018101797,1,True,True,3290,False,1112,802,45830770,174561358,45834601,174571060,0,0,1665972796,4318,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,298789,4030,441.47480109288233,1,True,True,3725,False,1112,802,45906017,174528217,45905839,174527813,0,0,1665972892,4222,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,98345,1957,297.3213749463701,1,True,True,1864,False,1112,802,45885650,174591307,45885562,174591023,0,0,1665972999,4115,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,212679,4034,395.05062966662894,1,True,True,1739,False,1112,802,45873444,174547688,45873493,174548080,0,0,1665973336,3778,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,264849,3552,952.2483919650376,1,True,True,2588,False,1112,802,45880592,174633877,45880013,174634633,0,0,1665973405,3709,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,122620,2738,2369.196699305484,1,True,True,2343,False,1112,802,45821903,174523242,45819536,174523140,0,0,1665973460,3654,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,244691,2887,524.950473854439,1,True,True,112,False,1112,802,45863417,174579658,45863634,174580136,0,0,1665973572,3542,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,362732,2073,277.70848024502243,1,True,True,1337,False,1112,802,45898742,174578266,45898811,174578535,0,0,1665973635,3479,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,495996,1322,1217.8973684182095,1,True,True,4369,False,1112,802,45857881,174547008,45856824,174546403,0,0,1665973863,3251,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,537933,1089,63.00793600809346,1,True,True,2288,False,1112,802,45898320,174550193,45898371,174550156,0,0,1665974152,2962,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,113628,1550,988.6784108090962,1,True,True,2883,False,1112,802,46052223,174953863,46051357,174953386,0,0,1665974179,2935,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,16113,2571,305.7924132479418,1,True,True,1002,False,1112,802,45879830,174648436,45879852,174648131,0,0,1665974234,2880,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,459457,3852,313.765836253726,1,True,True,1699,False,1112,802,45850935,174552690,45851200,174552858,0,0,1665974381,2733,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,54571,4002,130.11533345459327,1,True,True,1366,False,1112,802,45898786,174565946,45898803,174566075,0,0,1665974562,2552,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,244733,3536,81.74350127074322,1,True,True,2189,False,1112,802,45863396,174583501,45863375,174583422,0,0,1665974983,2131,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,270482,1756,2300.946761661382,1,True,True,1632,False,1112,802,45901666,174579152,45899366,174579086,0,0,1665975047,2067,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,522067,1111,84.21995013059554,1,True,True,2850,False,1112,802,45912607,174588126,45912649,174588053,0,0,1665975060,2054,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,158982,629,2773.838495659039,1,True,True,128,False,1112,802,46048736,174947932,46045990,174948324,0,0,1665975158,1956,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,340527,2067,740.7462453499173,1,True,True,3527,False,1112,802,45865332,174581152,45865604,174581841,0,0,1665975234,1880,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,32077,1449,3763.838997619319,1,True,True,717,False,1112,802,45874819,174607415,45871159,174606537,0,0,1665975409,1705,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,122638,980,869.9666660280726,1,True,True,1551,False,1112,802,45767581,174570726,45767540,174571595,0,0,1665975437,1677,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,262036,3779,1089.7238182218466,1,True,True,942,False,1112,802,45822976,174546904,45824063,174546981,0,0,1665975531,1583,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,57,3823,2760.8000651984926,1,True,True,52,False,1112,802,45896370,174524880,45899046,174525559,0,0,1665975611,1503,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,516887,2040,1082.6010345459679,1,True,True,4054,False,1112,802,45890563,174573599,45890488,174572519,0,0,1665975661,1453,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,153053,4128,1975.5842173898839,1,True,True,136,False,1112,802,45853104,174578614,45853561,174576692,0,0,1665975830,1284,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,490826,1568,3208.1009959164317,1,True,True,2303,False,1112,802,45856607,174536801,45859253,174538615,0,0,1665975913,1201,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,233013,4130,75.8023746329889,1,True,True,4019,False,1112,802,45897008,174553031,45897019,174552956,0,0,1665975929,1185,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,9716,58,738.7773683593725,1,True,True,1510,False,1112,802,45912295,174530150,45912071,174529446,0,0,1665975936,1178,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,250552,162,2426.538687101444,1,True,True,4891,False,1112,802,45882550,174555124,45883361,174552837,0,0,1665975963,1151,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,264825,1029,2114.1166003794588,1,True,True,3147,False,1112,802,45765106,174572219,45764801,174570127,0,0,1665975978,1136,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,67153,4099,187.29922583929704,1,True,True,2739,False,1112,802,45870933,174595486,45871117,174595521,0,0,1665975990,1124,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,73379,207,622.5961773091768,1,True,True,1201,False,1112,802,45877744,174578051,45878045,174577506,0,0,1665976063,1051,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,73399,646,1161.7112377867402,1,True,True,119,False,1112,802,45873329,174545627,45873187,174544474,0,0,1665976067,1047,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,12969,1772,201.63581031156147,1,True,True,1425,False,1112,802,45874288,174647503,45874272,174647302,0,0,1665976090,1024,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,304438,1527,77.6659513557904,1,True,True,536,False,1112,802,45859780,174572470,45859764,174572394,0,0,1665976098,1016,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,535218,3111,190.63315556324403,1,True,True,624,False,1112,802,45885544,174543242,45885498,174543057,0,0,1665976115,999,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,89113,40,420.27253062744893,1,True,True,483,False,1112,802,45880013,174634613,45879615,174634748,0,0,1665976122,992,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,561021,2399,3189.668634827135,1,True,True,3380,False,1112,802,45885010,174520190,45886491,174517365,0,0,1665976130,984,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,3214,1773,179.38784797192923,1,True,True,1061,False,1112,802,45886802,174544898,45886636,174544830,0,0,1665976132,982,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,171178,783,2169.2885930645557,1,True,True,783,True,1112,802,45817053,174564463,45815191,174563350,0,0,1665976158,956,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,25815,412,136.06616037795732,1,True,True,4019,False,1112,802,45897008,174553031,45897025,174552896,0,0,1665976161,953,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,76573,309,1518.1897114655994,1,True,True,167,False,1112,802,45893075,174568418,45892883,174566912,0,0,1665976177,937,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,376553,3925,99.85990186255943,1,True,True,2005,False,1112,802,45885512,174582807,45885458,174582723,0,0,1665976186,928,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,376539,1204,2406.200324162558,1,True,True,2270,False,1112,802,45919660,174549308,45921290,174547538,0,0,1665976187,927,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,45035,3980,1127.573057500045,1,True,True,3090,False,1112,802,45905669,174544560,45906080,174545610,0,0,1665976196,918,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,140920,1385,199.06029237394384,1,True,True,2145,False,1112,802,45854218,174605010,45854413,174604970,0,0,1665976208,906,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,307289,2486,324.0015432062014,1,True,True,1494,False,1112,802,45874320,174648050,45874644,174648049,0,0,1665976209,905,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,153049,4218,1840.3564872056718,1,True,True,691,False,1112,802,45874164,174536556,45873800,174538360,0,0,1665976210,904,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,63978,1332,284.07921430474283,1,True,True,1190,False,1112,802,45852183,174556342,45852108,174556616,0,0,1665976217,897,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,89,3099,2128.438394692221,1,True,True,83,False,1112,802,45870564,174546942,45869553,174545069,0,0,1665976227,887,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,165212,1276,1755.0002849002617,1,True,True,662,False,1112,802,45877759,174578692,45878584,174580241,0,0,1665976242,872,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,490831,3026,644.7984181122035,1,True,True,996,False,1112,802,45906017,174528217,45906248,174528819,0,0,1665976259,855,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,38517,1131,2630.832757892451,1,True,True,2233,False,1112,802,45892825,174553589,45894866,174555249,0,0,1665976261,853,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,241865,3991,1257.289942694206,1,True,True,3282,False,1112,802,45905669,174544560,45906722,174543873,0,0,1665976267,847,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,323980,3271,249.27494860093742,1,True,True,720,False,1112,802,45887576,174581297,45887473,174581524,0,0,1665976267,847,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,244726,1976,1848.2123795711357,1,True,True,4036,False,1112,802,45859959,174581509,45860251,174579684,0,0,1665976277,837,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,116610,1938,503.95436301316016,1,True,True,2938,False,1112,802,45889814,174545604,45890235,174545327,0,0,1665976277,837,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,398151,546,83.60023923410746,1,True,True,305,False,1112,802,45885839,174536161,45885889,174536094,0,0,1665976282,832,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,259128,3012,1682.3355788902522,1,True,True,2471,False,1112,802,45865778,174572103,45865300,174570490,0,0,1665976282,832,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,403613,93,91.92388155425118,1,True,True,391,False,1112,802,45895724,174555827,45895639,174555792,0,0,1665976286,828,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,67178,2169,431.7927743721518,1,True,True,2204,False,1112,802,45873015,174626148,45873141,174626561,0,0,1665976288,826,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,524698,2411,1636.8973700266001,1,True,True,2038,False,1112,802,45856856,174575762,45857813,174577090,0,0,1665976290,824,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,45040,835,70.45565981523414,1,True,True,92,False,1112,802,45919700,174542450,45919642,174542410,0,0,1665976294,820,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,159005,1423,113.35784048754634,1,True,True,2687,False,1112,802,45862946,174583985,45863031,174584060,0,0,1665976298,816,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,357227,2518,1574.3014323819946,1,True,True,3840,False,1112,802,45892888,174567981,45892952,174566408,0,0,1665976302,812,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,371033,283,3935.4453369345633,1,True,True,4003,False,1112,802,45877682,174539771,45873841,174540628,0,0,1665976305,809,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,32112,1367,293.71074205755565,1,True,True,278,False,1112,802,45898300,174553788,45898585,174553859,0,0,1665976308,806,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,180228,4022,2526.525083983929,1,True,True,3391,False,1112,802,45901660,174579130,45899212,174578505,0,0,1665976318,796,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,57729,249,1173.1841287709274,1,True,True,2827,False,1112,802,45898300,174553788,45897481,174552948,0,0,1665976328,786,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,57735,373,2705.129386924034,1,True,True,4042,False,1112,802,45892825,174553589,45894590,174555639,0,0,1665976332,782,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,140927,1455,324.99230760127233,1,True,True,1706,False,1112,802,45862354,174564276,45862676,174564320,0,0,1665976335,779,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,553218,180,2485.487879672721,1,True,True,728,False,1112,802,45900779,174568225,45902392,174566334,0,0,1665976339,775,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,456845,454,714.0343129009977,1,True,True,2921,False,1112,802,45912017,174526299,45912451,174526866,0,0,1665976341,773,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,177214,1198,1073.7867572288271,1,True,True,2968,False,1112,802,45898320,174550193,45898807,174551150,0,0,1665976356,758,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,168112,3254,360.8171281965422,1,True,True,327,False,1112,802,45887530,174576520,45887645,174576862,0,0,1665976357,757,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,92243,3049,147.41099009232656,1,True,True,3170,False,1112,802,45874747,174650152,45874844,174650041,0,0,1665976364,750,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,197827,1909,1014.2435604922517,1,True,True,1425,False,1112,802,45875776,174650671,45874847,174650264,0,0,1665976365,749,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,183208,1282,301.7167545894659,1,True,True,3725,False,1112,802,45907759,174546285,45907466,174546213,0,0,1665976369,745,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,392747,1220,1017.0452300659986,1,True,True,1149,False,1112,802,45866351,174556191,45867196,174556757,0,0,1665976377,737,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,212717,3220,864.153921474641,1,True,True,1494,False,1112,802,45879830,174648436,45879081,174648867,0,0,1665976378,736,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,156033,4221,4822.159267382196,1,True,True,1382,False,1112,802,45905939,174537499,45901181,174538283,0,0,1665976378,736,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,25832,3520,868.7398920275274,1,True,True,2592,False,1112,802,45889748,174535576,45890418,174536129,0,0,1665976395,719,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,351602,3568,760.1716911329966,1,True,True,1336,False,1112,802,45879281,174580549,45879971,174580868,0,0,1665976395,719,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,282019,875,163.9176622576103,1,True,True,963,False,1112,802,45857425,174567864,45857515,174567727,0,0,1665976395,719,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,430244,3276,286.50479926172267,1,True,True,473,False,1112,802,45890484,174561508,45890501,174561222,0,0,1665976399,715,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,79833,3425,2120.302101116725,1,True,True,1126,False,1112,802,45866523,174578800,45866388,174580916,0,0,1665976401,713,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,73389,47,1091.1434369504314,1,True,True,2126,False,1112,802,45885544,174543242,45885731,174544317,0,0,1665976401,713,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,119635,3422,472.2075814723859,1,True,True,2189,False,1112,802,45864785,174580827,45864399,174580555,0,0,1665976410,704,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,215701,4694,1066.0675400742675,1,True,True,4674,False,1112,802,45861845,174583822,45862155,174582802,0,0,1665976411,703,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,362768,99,239.30942313247925,1,True,True,2355,False,1112,802,45861490,174545510,45861252,174545485,0,0,1665976414,700,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,22574,1837,299.220654367308,1,True,True,1425,False,1112,802,45879400,174647910,45879102,174647937,0,0,1665976422,692,distance_to_pickup,REALTIME,greedy,0,10,order,1
1665977114,511719,1771,2919.220786442848,1,True,True,416,False,1112,802,45924121,174521831,45923150,174524584,0,0,1665976423,691,distance_to_pickup,REALTIME,greedy,0,10,order,1
