time,type,description,details
0.0,SIMULATION_START,Starting simulation with hungarian,"{""algorithm"": ""hungarian""}"
69,ORDER_PLACED,Order 0 placed,"{""order_id"": 0, ""restaurant_id"": 2}"
79,ORDER_PLACED,Order 1 placed,"{""order_id"": 1, ""restaurant_id"": 0}"
249,ORDER_READY,Order 0 is ready for pickup,"{""order_id"": 0}"
259,ORDER_READY,Order 1 is ready for pickup,"{""order_id"": 1}"
300,ASSIGNMENT_MADE,Courier 0 assigned orders [1],"{""courier_id"": 0, ""order_ids"": [1], ""bundle_size"": 1, ""has_relay"": false}"
300,ASSIGNMENT_MADE,Courier 3 assigned orders [0],"{""courier_id"": 3, ""order_ids"": [0], ""bundle_size"": 1, ""has_relay"": false}"
303,ORDER_PLACED,Order 2 placed,"{""order_id"": 2, ""restaurant_id"": 0}"
376,ORDER_PLACED,Order 3 placed,"{""order_id"": 3, ""restaurant_id"": 4}"
420,PICKUP_SERVICE_START,Courier 3 starting pickup service (90s),"{""courier_id"": 3, ""service_time"": 90}"
430,ORDER_PLACED,Order 4 placed,"{""order_id"": 4, ""restaurant_id"": 3}"
470,PICKUP_SERVICE_START,Courier 0 starting pickup service (90s),"{""courier_id"": 0, ""service_time"": 90}"
476,ORDER_PLACED,Order 5 placed,"{""order_id"": 5, ""restaurant_id"": 4}"
483,ORDER_READY,Order 2 is ready for pickup,"{""order_id"": 2}"
510,ORDER_PICKED_UP,Order 0 picked up by courier 3,"{""order_id"": 0, ""courier_id"": 3}"
510,COURIER_DELIVERING,Courier 3 heading to first dropoff (optimized),"{""courier_id"": 3, ""order_ids"": []}"
556,ORDER_READY,Order 3 is ready for pickup,"{""order_id"": 3}"
560,ORDER_PICKED_UP,Order 1 picked up by courier 0,"{""order_id"": 1, ""courier_id"": 0}"
560,COURIER_DELIVERING,Courier 0 heading to first dropoff (optimized),"{""courier_id"": 0, ""order_ids"": []}"
576,ORDER_PLACED,Order 6 placed,"{""order_id"": 6, ""restaurant_id"": 3}"
600,ASSIGNMENT_MADE,Courier 1 assigned orders [2],"{""courier_id"": 1, ""order_ids"": [2], ""bundle_size"": 1, ""has_relay"": false}"
600,ASSIGNMENT_MADE,Courier 4 assigned orders [3],"{""courier_id"": 4, ""order_ids"": [3], ""bundle_size"": 1, ""has_relay"": false}"
601,ORDER_PLACED,Order 7 placed,"{""order_id"": 7, ""restaurant_id"": 3}"
610,ORDER_READY,Order 4 is ready for pickup,"{""order_id"": 4}"
656,ORDER_READY,Order 5 is ready for pickup,"{""order_id"": 5}"
709,ORDER_PLACED,Order 8 placed,"{""order_id"": 8, ""restaurant_id"": 0}"
756,ORDER_READY,Order 6 is ready for pickup,"{""order_id"": 6}"
781,ORDER_READY,Order 7 is ready for pickup,"{""order_id"": 7}"
869,PICKUP_SERVICE_START,Courier 1 starting pickup service (90s),"{""courier_id"": 1, ""service_time"": 90}"
889,ORDER_READY,Order 8 is ready for pickup,"{""order_id"": 8}"
900,ASSIGNMENT_MADE,Courier 2 assigned orders [4],"{""courier_id"": 2, ""order_ids"": [4], ""bundle_size"": 1, ""has_relay"": false}"
959,ORDER_PICKED_UP,Order 2 picked up by courier 1,"{""order_id"": 2, ""courier_id"": 1}"
959,COURIER_DELIVERING,Courier 1 heading to first dropoff (optimized),"{""courier_id"": 1, ""order_ids"": []}"
968,ORDER_PLACED,Order 9 placed,"{""order_id"": 9, ""restaurant_id"": 3}"
992,ORDER_DELIVERED,Order 0 delivered by courier 3,"{""order_id"": 0, ""courier_id"": 3, ""click_to_door"": 923.9228973357237, ""ready_to_door"": 743.9228973357237}"
992,COURIER_IDLE,Courier 3 is now idle,"{""courier_id"": 3}"
1063,ORDER_PLACED,Order 10 placed,"{""order_id"": 10, ""restaurant_id"": 4}"
1077,ORDER_PLACED,Order 11 placed,"{""order_id"": 11, ""restaurant_id"": 2}"
1080,PICKUP_SERVICE_START,Courier 4 starting pickup service (90s),"{""courier_id"": 4, ""service_time"": 90}"
1087,ORDER_PLACED,Order 12 placed,"{""order_id"": 12, ""restaurant_id"": 3}"
1148,ORDER_READY,Order 9 is ready for pickup,"{""order_id"": 9}"
1170,ORDER_PICKED_UP,Order 3 picked up by courier 4,"{""order_id"": 3, ""courier_id"": 4}"
1170,COURIER_DELIVERING,Courier 4 heading to first dropoff (optimized),"{""courier_id"": 4, ""order_ids"": []}"
1200,ASSIGNMENT_MADE,Courier 3 assigned orders [5],"{""courier_id"": 3, ""order_ids"": [5], ""bundle_size"": 1, ""has_relay"": false}"
1243,ORDER_READY,Order 10 is ready for pickup,"{""order_id"": 10}"
1257,ORDER_READY,Order 11 is ready for pickup,"{""order_id"": 11}"
1267,ORDER_READY,Order 12 is ready for pickup,"{""order_id"": 12}"
1317,ORDER_PLACED,Order 13 placed,"{""order_id"": 13, ""restaurant_id"": 2}"
1352,ORDER_DELIVERED,Order 1 delivered by courier 0,"{""order_id"": 1, ""courier_id"": 0, ""click_to_door"": 1273.6351496736454, ""ready_to_door"": 1093.6351496736452}"
1352,COURIER_IDLE,Courier 0 is now idle,"{""courier_id"": 0}"
1401,ORDER_PLACED,Order 14 placed,"{""order_id"": 14, ""restaurant_id"": 2}"
1411,ORDER_PLACED,Order 15 placed,"{""order_id"": 15, ""restaurant_id"": 3}"
1414,ORDER_PLACED,Order 16 placed,"{""order_id"": 16, ""restaurant_id"": 1}"
1446,ORDER_PLACED,Order 17 placed,"{""order_id"": 17, ""restaurant_id"": 1}"
1497,ORDER_READY,Order 13 is ready for pickup,"{""order_id"": 13}"
1500,ASSIGNMENT_MADE,Courier 0 assigned orders [10],"{""courier_id"": 0, ""order_ids"": [10], ""bundle_size"": 1, ""has_relay"": false}"
1520,ORDER_DELIVERED,Order 3 delivered by courier 4,"{""order_id"": 3, ""courier_id"": 4, ""click_to_door"": 1144.193638701627, ""ready_to_door"": 964.1936387016269}"
1520,COURIER_IDLE,Courier 4 is now idle,"{""courier_id"": 4}"
1522,ORDER_DELIVERED,Order 2 delivered by courier 1,"{""order_id"": 2, ""courier_id"": 1, ""click_to_door"": 1219.3921359728934, ""ready_to_door"": 1039.3921359728934}"
1522,COURIER_IDLE,Courier 1 is now idle,"{""courier_id"": 1}"
1534,PICKUP_SERVICE_START,Courier 3 starting pickup service (90s),"{""courier_id"": 3, ""service_time"": 90}"
1547,ORDER_PLACED,Order 18 placed,"{""order_id"": 18, ""restaurant_id"": 3}"
1581,ORDER_READY,Order 14 is ready for pickup,"{""order_id"": 14}"
1591,ORDER_READY,Order 15 is ready for pickup,"{""order_id"": 15}"
1594,ORDER_READY,Order 16 is ready for pickup,"{""order_id"": 16}"
1624,ORDER_PICKED_UP,Order 5 picked up by courier 3,"{""order_id"": 5, ""courier_id"": 3}"
1624,COURIER_DELIVERING,Courier 3 heading to first dropoff (optimized),"{""courier_id"": 3, ""order_ids"": []}"
1626,ORDER_READY,Order 17 is ready for pickup,"{""order_id"": 17}"
1656,ORDER_EXPIRED,Order 6 expired (not matched within 900s),"{""order_id"": 6}"
1681,ORDER_EXPIRED,Order 7 expired (not matched within 900s),"{""order_id"": 7}"
1727,ORDER_READY,Order 18 is ready for pickup,"{""order_id"": 18}"
1749,PICKUP_SERVICE_START,Courier 2 starting pickup service (90s),"{""courier_id"": 2, ""service_time"": 90}"
1778,ORDER_PLACED,Order 19 placed,"{""order_id"": 19, ""restaurant_id"": 1}"
1789,ORDER_EXPIRED,Order 8 expired (not matched within 900s),"{""order_id"": 8}"
1800,ASSIGNMENT_MADE,Courier 1 assigned orders [9],"{""courier_id"": 1, ""order_ids"": [9], ""bundle_size"": 1, ""has_relay"": false}"
1800,ASSIGNMENT_MADE,Courier 4 assigned orders [11],"{""courier_id"": 4, ""order_ids"": [11], ""bundle_size"": 1, ""has_relay"": false}"
1839,ORDER_PICKED_UP,Order 4 picked up by courier 2,"{""order_id"": 4, ""courier_id"": 2}"
1839,COURIER_DELIVERING,Courier 2 heading to first dropoff (optimized),"{""courier_id"": 2, ""order_ids"": []}"
1891,ORDER_PLACED,Order 20 placed,"{""order_id"": 20, ""restaurant_id"": 0}"
1911,PICKUP_SERVICE_START,Courier 0 starting pickup service (90s),"{""courier_id"": 0, ""service_time"": 90}"
1940,PICKUP_SERVICE_START,Courier 1 starting pickup service (90s),"{""courier_id"": 1, ""service_time"": 90}"
1958,ORDER_READY,Order 19 is ready for pickup,"{""order_id"": 19}"
1970,ORDER_PLACED,Order 21 placed,"{""order_id"": 21, ""restaurant_id"": 4}"
2001,ORDER_PICKED_UP,Order 10 picked up by courier 0,"{""order_id"": 10, ""courier_id"": 0}"
2001,COURIER_DELIVERING,Courier 0 heading to first dropoff (optimized),"{""courier_id"": 0, ""order_ids"": []}"
2030,ORDER_PICKED_UP,Order 9 picked up by courier 1,"{""order_id"": 9, ""courier_id"": 1}"
2030,COURIER_DELIVERING,Courier 1 heading to first dropoff (optimized),"{""courier_id"": 1, ""order_ids"": []}"
2040,ORDER_DELIVERED,Order 4 delivered by courier 2,"{""order_id"": 4, ""courier_id"": 2, ""click_to_door"": 1610.2364426500246, ""ready_to_door"": 1430.2364426500246}"
2040,COURIER_IDLE,Courier 2 is now idle,"{""courier_id"": 2}"
2071,ORDER_READY,Order 20 is ready for pickup,"{""order_id"": 20}"
2100,ASSIGNMENT_MADE,Courier 2 assigned orders [18],"{""courier_id"": 2, ""order_ids"": [18], ""bundle_size"": 1, ""has_relay"": false}"
2150,ORDER_READY,Order 21 is ready for pickup,"{""order_id"": 21}"
2163,PICKUP_SERVICE_START,Courier 4 starting pickup service (90s),"{""courier_id"": 4, ""service_time"": 90}"
2167,ORDER_EXPIRED,Order 12 expired (not matched within 900s),"{""order_id"": 12}"
2173,ORDER_DELIVERED,Order 5 delivered by courier 3,"{""order_id"": 5, ""courier_id"": 3, ""click_to_door"": 1697.612541221475, ""ready_to_door"": 1517.612541221475}"
2173,COURIER_IDLE,Courier 3 is now idle,"{""courier_id"": 3}"
2253,ORDER_PICKED_UP,Order 11 picked up by courier 4,"{""order_id"": 11, ""courier_id"": 4}"
2253,COURIER_DELIVERING,Courier 4 heading to first dropoff (optimized),"{""courier_id"": 4, ""order_ids"": []}"
