time,type,description,details
0.0,SIMULATION_START,Starting simulation with simple_bundling,"{""algorithm"": ""simple_bundling""}"
69,ORDER_PLACED,Order 0 placed,"{""order_id"": 0, ""restaurant_id"": 2}"
79,ORDER_PLACED,Order 1 placed,"{""order_id"": 1, ""restaurant_id"": 0}"
249,ORDER_READY,Order 0 is ready for pickup,"{""order_id"": 0}"
259,ORDER_READY,Order 1 is ready for pickup,"{""order_id"": 1}"
300,ASSIGNMENT_MADE,Courier 0 assigned orders [1],"{""courier_id"": 0, ""order_ids"": [1], ""bundle_size"": 1, ""has_relay"": false}"
300,ASSIGNMENT_MADE,Courier 3 assigned orders [0],"{""courier_id"": 3, ""order_ids"": [0], ""bundle_size"": 1, ""has_relay"": false}"
303,ORDER_PLACED,Order 2 placed,"{""order_id"": 2, ""restaurant_id"": 0}"
376,ORDER_PLACED,Order 3 placed,"{""order_id"": 3, ""restaurant_id"": 4}"
420,PICKUP_SERVICE_START,Courier 3 starting pickup service (90s),"{""courier_id"": 3, ""service_time"": 90}"
430,ORDER_PLACED,Order 4 placed,"{""order_id"": 4, ""restaurant_id"": 3}"
470,PICKUP_SERVICE_START,Courier 0 starting pickup service (90s),"{""courier_id"": 0, ""service_time"": 90}"
476,ORDER_PLACED,Order 5 placed,"{""order_id"": 5, ""restaurant_id"": 4}"
483,ORDER_READY,Order 2 is ready for pickup,"{""order_id"": 2}"
510,ORDER_PICKED_UP,Order 0 picked up by courier 3,"{""order_id"": 0, ""courier_id"": 3}"
510,COURIER_DELIVERING,Courier 3 heading to first dropoff (optimized),"{""courier_id"": 3, ""order_ids"": []}"
556,ORDER_READY,Order 3 is ready for pickup,"{""order_id"": 3}"
560,ORDER_PICKED_UP,Order 1 picked up by courier 0,"{""order_id"": 1, ""courier_id"": 0}"
560,COURIER_DELIVERING,Courier 0 heading to first dropoff (optimized),"{""courier_id"": 0, ""order_ids"": []}"
576,ORDER_PLACED,Order 6 placed,"{""order_id"": 6, ""restaurant_id"": 3}"
600,ASSIGNMENT_MADE,Courier 1 assigned orders [2],"{""courier_id"": 1, ""order_ids"": [2], ""bundle_size"": 1, ""has_relay"": false}"
600,ASSIGNMENT_MADE,Courier 4 assigned orders [3],"{""courier_id"": 4, ""order_ids"": [3], ""bundle_size"": 1, ""has_relay"": false}"
601,ORDER_PLACED,Order 7 placed,"{""order_id"": 7, ""restaurant_id"": 3}"
610,ORDER_READY,Order 4 is ready for pickup,"{""order_id"": 4}"
656,ORDER_READY,Order 5 is ready for pickup,"{""order_id"": 5}"
709,ORDER_PLACED,Order 8 placed,"{""order_id"": 8, ""restaurant_id"": 0}"
756,ORDER_READY,Order 6 is ready for pickup,"{""order_id"": 6}"
781,ORDER_READY,Order 7 is ready for pickup,"{""order_id"": 7}"
869,PICKUP_SERVICE_START,Courier 1 starting pickup service (90s),"{""courier_id"": 1, ""service_time"": 90}"
889,ORDER_READY,Order 8 is ready for pickup,"{""order_id"": 8}"
900,ASSIGNMENT_MADE,Courier 2 assigned orders [5],"{""courier_id"": 2, ""order_ids"": [5], ""bundle_size"": 1, ""has_relay"": false}"
959,ORDER_PICKED_UP,Order 2 picked up by courier 1,"{""order_id"": 2, ""courier_id"": 1}"
959,COURIER_DELIVERING,Courier 1 heading to first dropoff (optimized),"{""courier_id"": 1, ""order_ids"": []}"
968,ORDER_PLACED,Order 9 placed,"{""order_id"": 9, ""restaurant_id"": 3}"
992,ORDER_DELIVERED,Order 0 delivered by courier 3,"{""order_id"": 0, ""courier_id"": 3, ""click_to_door"": 923.9228973357237, ""ready_to_door"": 743.9228973357237}"
992,COURIER_IDLE,Courier 3 is now idle,"{""courier_id"": 3}"
1063,ORDER_PLACED,Order 10 placed,"{""order_id"": 10, ""restaurant_id"": 4}"
1077,ORDER_PLACED,Order 11 placed,"{""order_id"": 11, ""restaurant_id"": 2}"
1080,PICKUP_SERVICE_START,Courier 4 starting pickup service (90s),"{""courier_id"": 4, ""service_time"": 90}"
1087,ORDER_PLACED,Order 12 placed,"{""order_id"": 12, ""restaurant_id"": 3}"
1148,ORDER_READY,Order 9 is ready for pickup,"{""order_id"": 9}"
1170,ORDER_PICKED_UP,Order 3 picked up by courier 4,"{""order_id"": 3, ""courier_id"": 4}"
1170,COURIER_DELIVERING,Courier 4 heading to first dropoff (optimized),"{""courier_id"": 4, ""order_ids"": []}"
1200,ASSIGNMENT_MADE,Courier 3 assigned orders [9],"{""courier_id"": 3, ""order_ids"": [9], ""bundle_size"": 1, ""has_relay"": false}"
1243,ORDER_READY,Order 10 is ready for pickup,"{""order_id"": 10}"
1257,ORDER_READY,Order 11 is ready for pickup,"{""order_id"": 11}"
1267,ORDER_READY,Order 12 is ready for pickup,"{""order_id"": 12}"
1317,ORDER_PLACED,Order 13 placed,"{""order_id"": 13, ""restaurant_id"": 2}"
1352,ORDER_DELIVERED,Order 1 delivered by courier 0,"{""order_id"": 1, ""courier_id"": 0, ""click_to_door"": 1273.6351496736454, ""ready_to_door"": 1093.6351496736452}"
1352,COURIER_IDLE,Courier 0 is now idle,"{""courier_id"": 0}"
1401,ORDER_PLACED,Order 14 placed,"{""order_id"": 14, ""restaurant_id"": 2}"
1411,ORDER_PLACED,Order 15 placed,"{""order_id"": 15, ""restaurant_id"": 3}"
1414,ORDER_PLACED,Order 16 placed,"{""order_id"": 16, ""restaurant_id"": 1}"
1437,PICKUP_SERVICE_START,Courier 2 starting pickup service (90s),"{""courier_id"": 2, ""service_time"": 90}"
1446,ORDER_PLACED,Order 17 placed,"{""order_id"": 17, ""restaurant_id"": 1}"
1497,ORDER_READY,Order 13 is ready for pickup,"{""order_id"": 13}"
1500,ASSIGNMENT_MADE,Courier 0 assigned orders [10],"{""courier_id"": 0, ""order_ids"": [10], ""bundle_size"": 1, ""has_relay"": false}"
1510,ORDER_EXPIRED,Order 4 expired (not matched within 900s),"{""order_id"": 4}"
1520,ORDER_DELIVERED,Order 3 delivered by courier 4,"{""order_id"": 3, ""courier_id"": 4, ""click_to_door"": 1144.193638701627, ""ready_to_door"": 964.1936387016269}"
1520,COURIER_IDLE,Courier 4 is now idle,"{""courier_id"": 4}"
1522,ORDER_DELIVERED,Order 2 delivered by courier 1,"{""order_id"": 2, ""courier_id"": 1, ""click_to_door"": 1219.3921359728934, ""ready_to_door"": 1039.3921359728934}"
1522,COURIER_IDLE,Courier 1 is now idle,"{""courier_id"": 1}"
1527,ORDER_PICKED_UP,Order 5 picked up by courier 2,"{""order_id"": 5, ""courier_id"": 2}"
1527,COURIER_DELIVERING,Courier 2 heading to first dropoff (optimized),"{""courier_id"": 2, ""order_ids"": []}"
1547,ORDER_PLACED,Order 18 placed,"{""order_id"": 18, ""restaurant_id"": 3}"
1581,ORDER_READY,Order 14 is ready for pickup,"{""order_id"": 14}"
1591,ORDER_READY,Order 15 is ready for pickup,"{""order_id"": 15}"
1594,ORDER_READY,Order 16 is ready for pickup,"{""order_id"": 16}"
1626,ORDER_READY,Order 17 is ready for pickup,"{""order_id"": 17}"
1656,ORDER_EXPIRED,Order 6 expired (not matched within 900s),"{""order_id"": 6}"
1681,ORDER_EXPIRED,Order 7 expired (not matched within 900s),"{""order_id"": 7}"
1727,ORDER_READY,Order 18 is ready for pickup,"{""order_id"": 18}"
1778,ORDER_PLACED,Order 19 placed,"{""order_id"": 19, ""restaurant_id"": 1}"
1779,PICKUP_SERVICE_START,Courier 3 starting pickup service (90s),"{""courier_id"": 3, ""service_time"": 90}"
1789,ORDER_EXPIRED,Order 8 expired (not matched within 900s),"{""order_id"": 8}"
1800,ASSIGNMENT_MADE,"Courier 1 assigned orders [12, 15, 18]","{""courier_id"": 1, ""order_ids"": [12, 15, 18], ""bundle_size"": 3, ""has_relay"": false}"
1800,ASSIGNMENT_MADE,"Courier 4 assigned orders [16, 17]","{""courier_id"": 4, ""order_ids"": [16, 17], ""bundle_size"": 2, ""has_relay"": false}"
1869,ORDER_PICKED_UP,Order 9 picked up by courier 3,"{""order_id"": 9, ""courier_id"": 3}"
1869,COURIER_DELIVERING,Courier 3 heading to first dropoff (optimized),"{""courier_id"": 3, ""order_ids"": []}"
1891,ORDER_PLACED,Order 20 placed,"{""order_id"": 20, ""restaurant_id"": 0}"
1911,PICKUP_SERVICE_START,Courier 0 starting pickup service (90s),"{""courier_id"": 0, ""service_time"": 90}"
1940,PICKUP_SERVICE_START,Courier 1 starting pickup service (90s),"{""courier_id"": 1, ""service_time"": 90}"
1958,ORDER_READY,Order 19 is ready for pickup,"{""order_id"": 19}"
1970,ORDER_PLACED,Order 21 placed,"{""order_id"": 21, ""restaurant_id"": 4}"
2001,ORDER_PICKED_UP,Order 10 picked up by courier 0,"{""order_id"": 10, ""courier_id"": 0}"
2001,COURIER_DELIVERING,Courier 0 heading to first dropoff (optimized),"{""courier_id"": 0, ""order_ids"": []}"
2030,ORDER_PICKED_UP,Order 12 picked up by courier 1,"{""order_id"": 12, ""courier_id"": 1}"
2030,ORDER_PICKED_UP,Order 15 picked up by courier 1,"{""order_id"": 15, ""courier_id"": 1}"
2030,ORDER_PICKED_UP,Order 18 picked up by courier 1,"{""order_id"": 18, ""courier_id"": 1}"
2030,ROUTE_OPTIMIZED,Courier 1 route optimized: 3 dropoffs reordered,"{""courier_id"": 1, ""original_sequence"": [12, 15, 18], ""optimized_sequence"": []}"
2030,COURIER_DELIVERING,Courier 1 heading to first dropoff (optimized),"{""courier_id"": 1, ""order_ids"": []}"
2071,ORDER_READY,Order 20 is ready for pickup,"{""order_id"": 20}"
2076,ORDER_DELIVERED,Order 5 delivered by courier 2,"{""order_id"": 5, ""courier_id"": 2, ""click_to_door"": 1600.612541221475, ""ready_to_door"": 1420.612541221475}"
2076,COURIER_IDLE,Courier 2 is now idle,"{""courier_id"": 2}"
2100,ASSIGNMENT_MADE,Courier 2 assigned orders [20],"{""courier_id"": 2, ""order_ids"": [20], ""bundle_size"": 1, ""has_relay"": false}"
2150,ORDER_READY,Order 21 is ready for pickup,"{""order_id"": 21}"
2157,ORDER_EXPIRED,Order 11 expired (not matched within 900s),"{""order_id"": 11}"
2190,PICKUP_SERVICE_START,Courier 2 starting pickup service (90s),"{""courier_id"": 2, ""service_time"": 90}"
2209,ORDER_DELIVERED,Order 9 delivered by courier 3,"{""order_id"": 9, ""courier_id"": 3, ""click_to_door"": 1241.6777848935312, ""ready_to_door"": 1061.6777848935312}"
2209,COURIER_IDLE,Courier 3 is now idle,"{""courier_id"": 3}"
2209,PICKUP_SERVICE_START,Courier 4 starting pickup service (90s),"{""courier_id"": 4, ""service_time"": 90}"
2280,ORDER_PICKED_UP,Order 20 picked up by courier 2,"{""order_id"": 20, ""courier_id"": 2}"
2280,COURIER_DELIVERING,Courier 2 heading to first dropoff (optimized),"{""courier_id"": 2, ""order_ids"": []}"
2291,ORDER_DELIVERED,Order 10 delivered by courier 0,"{""order_id"": 10, ""courier_id"": 0, ""click_to_door"": 1228.2423158874788, ""ready_to_door"": 1048.2423158874788}"
2291,COURIER_IDLE,Courier 0 is now idle,"{""courier_id"": 0}"
2299,ORDER_PICKED_UP,Order 16 picked up by courier 4,"{""order_id"": 16, ""courier_id"": 4}"
2299,ORDER_PICKED_UP,Order 17 picked up by courier 4,"{""order_id"": 17, ""courier_id"": 4}"
2299,ROUTE_OPTIMIZED,Courier 4 route optimized: 2 dropoffs reordered,"{""courier_id"": 4, ""original_sequence"": [16, 17], ""optimized_sequence"": []}"
2299,COURIER_DELIVERING,Courier 4 heading to first dropoff (optimized),"{""courier_id"": 4, ""order_ids"": []}"
2371,ORDER_DELIVERED,Order 18 delivered by courier 1,"{""order_id"": 18, ""courier_id"": 1, ""click_to_door"": 824.1814657012928, ""ready_to_door"": 644.1814657012928}"
2397,ORDER_EXPIRED,Order 13 expired (not matched within 900s),"{""order_id"": 13}"
2400,ASSIGNMENT_MADE,Courier 0 assigned orders [14],"{""courier_id"": 0, ""order_ids"": [14], ""bundle_size"": 1, ""has_relay"": false}"
2400,ASSIGNMENT_MADE,Courier 3 assigned orders [21],"{""courier_id"": 3, ""order_ids"": [21], ""bundle_size"": 1, ""has_relay"": false}"
2439,ORDER_PLACED,Order 22 placed,"{""order_id"": 22, ""restaurant_id"": 4}"
2502,ORDER_PLACED,Order 23 placed,"{""order_id"": 23, ""restaurant_id"": 3}"
2507,ORDER_PLACED,Order 24 placed,"{""order_id"": 24, ""restaurant_id"": 2}"
2584,ORDER_DELIVERED,Order 20 delivered by courier 2,"{""order_id"": 20, ""courier_id"": 2, ""click_to_door"": 693.3965075963692, ""ready_to_door"": 513.3965075963692}"
2584,COURIER_IDLE,Courier 2 is now idle,"{""courier_id"": 2}"
2598,PICKUP_SERVICE_START,Courier 3 starting pickup service (90s),"{""courier_id"": 3, ""service_time"": 90}"
2619,ORDER_READY,Order 22 is ready for pickup,"{""order_id"": 22}"
2646,ORDER_PLACED,Order 25 placed,"{""order_id"": 25, ""restaurant_id"": 2}"
2682,ORDER_READY,Order 23 is ready for pickup,"{""order_id"": 23}"
2687,ORDER_READY,Order 24 is ready for pickup,"{""order_id"": 24}"
2688,ORDER_PICKED_UP,Order 21 picked up by courier 3,"{""order_id"": 21, ""courier_id"": 3}"
2688,COURIER_DELIVERING,Courier 3 heading to first dropoff (optimized),"{""courier_id"": 3, ""order_ids"": []}"
2690,ORDER_PLACED,Order 26 placed,"{""order_id"": 26, ""restaurant_id"": 3}"
2700,ASSIGNMENT_MADE,Courier 2 assigned orders [22],"{""courier_id"": 2, ""order_ids"": [22], ""bundle_size"": 1, ""has_relay"": false}"
2713,ORDER_PLACED,Order 27 placed,"{""order_id"": 27, ""restaurant_id"": 0}"
2771,ORDER_DELIVERED,Order 15 delivered by courier 1,"{""order_id"": 15, ""courier_id"": 1, ""click_to_door"": 1360.5320808366316, ""ready_to_door"": 1180.5320808366316}"
2826,ORDER_READY,Order 25 is ready for pickup,"{""order_id"": 25}"
2858,ORDER_EXPIRED,Order 19 expired (not matched within 900s),"{""order_id"": 19}"
2863,ORDER_DELIVERED,Order 17 delivered by courier 4,"{""order_id"": 17, ""courier_id"": 4, ""click_to_door"": 1417.7263953227507, ""ready_to_door"": 1237.7263953227507}"
2870,ORDER_READY,Order 26 is ready for pickup,"{""order_id"": 26}"
2891,ORDER_DELIVERED,Order 21 delivered by courier 3,"{""order_id"": 21, ""courier_id"": 3, ""click_to_door"": 921.2901309624522, ""ready_to_door"": 741.2901309624522}"
2891,COURIER_IDLE,Courier 3 is now idle,"{""courier_id"": 3}"
2893,ORDER_READY,Order 27 is ready for pickup,"{""order_id"": 27}"
2896,ORDER_PLACED,Order 28 placed,"{""order_id"": 28, ""restaurant_id"": 3}"
2927,PICKUP_SERVICE_START,Courier 2 starting pickup service (90s),"{""courier_id"": 2, ""service_time"": 90}"
2972,ORDER_PLACED,Order 29 placed,"{""order_id"": 29, ""restaurant_id"": 0}"
2982,ORDER_PLACED,Order 30 placed,"{""order_id"": 30, ""restaurant_id"": 4}"
3000,ASSIGNMENT_MADE,"Courier 3 assigned orders [23, 26]","{""courier_id"": 3, ""order_ids"": [23, 26], ""bundle_size"": 2, ""has_relay"": false}"
3017,ORDER_PICKED_UP,Order 22 picked up by courier 2,"{""order_id"": 22, ""courier_id"": 2}"
3017,COURIER_DELIVERING,Courier 2 heading to first dropoff (optimized),"{""courier_id"": 2, ""order_ids"": []}"
3055,ORDER_PLACED,Order 31 placed,"{""order_id"": 31, ""restaurant_id"": 4}"
3076,ORDER_READY,Order 28 is ready for pickup,"{""order_id"": 28}"
3137,ORDER_PLACED,Order 32 placed,"{""order_id"": 32, ""restaurant_id"": 2}"
3152,ORDER_READY,Order 29 is ready for pickup,"{""order_id"": 29}"
3162,ORDER_READY,Order 30 is ready for pickup,"{""order_id"": 30}"
3182,PICKUP_SERVICE_START,Courier 0 starting pickup service (90s),"{""courier_id"": 0, ""service_time"": 90}"
3235,ORDER_READY,Order 31 is ready for pickup,"{""order_id"": 31}"
